singkatan;original
7an;tujuan
@;di
aamiin;amin 
ababil;abg labil
abis;habis
acc;accord
ad;ada
adek;adik 
adlah;adalah
adlh;adalah
adoh;aduh
aer;air 
afaik;as far as i know
aha;tertawa
ahaha;haha
ahokncc;ahok
aing;saya
aiskrim;es krim 
aj;saja
aja;saja
ajah;saja 
ajalah;saja 
aje;saja 
ajep-ajep;dunia gemerlap
ajh;saja 
ajj;saja
ak;saya
aka;dikenal juga sebagai
akhirx;akhirnya
akika;aku
akko;aku
akkoh;aku
akku;aku
akoh;saya
aku;saya
akutu;saya
akuwh;aku
akyu;aku
alay;norak
alesan;alasan 
aljasa;asal jadi saja
alow;halo
ama;sama
amaca;ah masa
ambilin;ambilkan
ambl;ambil
amuh;kamu
analisise;analisis
ancur;hancur
ane;saya 
anget;hangat 
anjeng;anjing 
anjir;anjing
anjrit;anjing
ank;anak
anter;antar
ap;apa
ap2;apa-apa
apaan;apa
apah;apa 
apasih;apa sih
ape;apa
apes;sial
aph;apa
aplot;unggah
apo;apa 
apose;apa
aps;apa
apva;apa
apz;apa
aq;saya
aqu;aku
aquwh;aku
artine;artinya 
asap;sesegera mungkin
asbun;asal bunyi
aseek;asyik
aseekk;asyik
asek;asyik
asekk;asyik
aseknya;asyiknya
asem;asam
asoy;asyik
aspal;asli tetapi palsu
astrojim;astagfirullahaladzim
astul;asal tulis
ath;kalau begitu
ati2;hati-hati 
atit;sakit 
ato;atau
atu;satu 
atuh;kalau begitu
atw;atau 
au ah;tidak mau tahu
ava;avatar
awak;saya
aws;awas
ay;sayang
ayang;sayang
ayank;sayang
ayok;ayo
ayuk;ayo 
b4;sebelum
babang;abang
bacot;banyak bicara
bae;baik 
bais;habis
bakalan;akan
bales;balas
bandes;bantuan desa
bandingin;bandingkan 
bangdes;pembangunan desa
bangedh;banget
banget;sekali 
bangett;sangat 
bangkotan;tua
banpol;bantuan polisi
banpres;bantuan presiden
banpur;bantuan tempur
bansarkas;bantuan sarana kesehatan
banyakin;perbanyak 
barengan;bersamaan 
baryaw;sabar ya
basbang;basi
baso;bakso 
